YR,ST,FIPS5,REASON,N
2015,SC,45045,none,1329
2016,TX,48113,3,2426
2017,FL,12115,9,178
2016,MO,29047,3,322
2016,VA,51087,7,229
2015,TN,47157,9,338
2017,TX,48113,none,4039
2015,FL,12031,4,894
2017,NC,37183,1,1141
2016,TX,48203,3,97
2017,NC,37155,none,606
2017,SC,45063,3,446
2016,FL,12131,none,619
2017,TX,48157,4,323
2017,VA,51810,3,698
2017,FL,12083,none,1511
2016,AR,05051,none,736
2015,FL,12103,3,1475
2017,TX,48453,9,421
2015,SC,45083,3,598
2017,LA,22071,none,827
2015,NC,37183,none,2219
2015,TX,48085,4,475
2015,TX,48439,3,2337
2017,MO,29095,3,823
2017,MS,28033,none,518
2015,FL,12085,none,339
2017,NC,37101,9,98
2016,TX,48439,7,1110
2017,GA,13063,3,604
2015,TX,48491,1,620
2016,TX,48113,4,1171
2017,FL,12053,9,134
2015,TX,48139,none,681
2017,FL,12015,none,596
2017,TX,48061,3,511
2015,GA,13153,none,418
2015,MN,27053,4,1173
2017,GA,13073,none,295
2017,NC,37085,none,261
2015,VA,51161,none,232
2017,TX,48439,4,847
2016,TX,48213,none,473
2016,AR,05143,none,1014
2015,GA,13209,none,49
2016,GA,13153,none,608
2015,TX,48215,1,830
2017,AR,05139,none,230
2017,GA,13067,3,961
2016,FL,12081,1,640
2015,FL,12031,3,1625
2016,FL,12071,7,620
2015,FL,12071,4,860
2017,AR,05125,none,630
2017,WV,54053,none,65
2015,TX,48183,3,119
2017,FL,12099,7,1073
2017,SC,45063,4,210
2016,FL,12009,7,555
2016,LA,22057,none,488
2015,FL,12113,none,644
2016,GA,13113,none,643
2015,TX,48157,9,429
2017,FL,12095,6,350
2015,TN,47125,9,106
2016,SC,45051,1,625
2015,LA,22103,none,1006
2015,FL,12069,1,557
2017,TX,48439,9,697
2016,TN,47093,3,607
2016,FL,12053,3,438
2015,FL,12033,none,1006
2015,FL,12005,1,252
2016,NC,37151,none,606
2015,TN,47037,none,2304
2015,TX,48491,3,666
2017,TX,48329,9,53
2015,MO,29189,none,2021
2015,VA,51047,1,75
2017,TX,48139,7,94
2015,VA,51760,none,408
2016,GA,13223,none,1031
2017,FL,12121,none,267
2017,MO,29183,9,103
2016,WV,54005,none,81
2015,SC,45091,9,101
2017,FL,12051,3,70
2016,VA,51153,9,376
2015,GA,13059,none,197
2015,TX,48167,3,475
2017,GA,13295,3,113
2015,FL,12105,none,1966
2015,FL,12086,7,1575
2016,NC,37179,7,212
2016,GA,13215,none,779
2017,AR,05059,none,195
2017,FL,12117,9,229
2016,GA,13135,7,936
2016,MS,28047,3,229
2017,NC,37097,3,275
2015,MN,27003,none,835
2016,GA,13135,1,1401
2016,VA,51085,none,406
2017,SC,45007,3,413
2017,VA,51550,none,373
2015,FL,12057,9,938
2016,NC,37063,7,184
2016,GA,13151,4,267
2017,NC,37119,7,697
2016,MN,27019,none,284
2015,MN,27003,9,137
2015,SC,45073,3,114
2015,FL,12035,1,253
2015,GA,13073,none,481
2016,GA,13067,1,928
2016,NC,37101,1,234
2015,GA,13217,none,424
2016,MN,27037,3,497
2017,NC,37071,3,372
2016,WV,54057,none,80
2017,SC,45051,4,471
2017,FL,12127,3,974
2016,NC,37119,6,249
2015,TX,48439,4,958
2015,NC,37139,none,103
2017,MO,29047,3,314
2016,SC,45051,4,536
2016,TN,47009,none,788
2015,SC,45063,2,25
2017,FL,12085,none,275
2016,NC,37141,none,359
2015,MO,29037,3,127
2017,TX,48355,none,804
2017,GA,13313,none,319
2016,MO,29157,none,105
2016,TX,48003,none,76
2016,FL,12053,4,270
2016,NC,37069,none,343
2017,MO,29183,none,874
2016,TX,48251,9,86
2017,GA,13157,none,217
2015,AR,05125,none,659
2017,GA,13245,none,496
2016,SC,45051,3,561
2017,VA,51710,7,162
2015,TX,48499,none,170
2015,SC,45031,none,209
2016,VA,51047,1,75
2016,AR,05143,4,104
2017,FL,12086,7,1337
2016,TX,48479,3,327
2015,TX,48027,3,410
2017,WV,54003,3,212
2016,FL,12033,3,399
2015,TN,47179,none,421
2016,VA,51171,none,165
2016,WV,54081,1,103
2015,SC,45049,none,94
2017,SC,45059,none,289
2015,FL,12095,6,303
2017,TX,48139,3,263
2016,GA,13137,none,258
2017,TX,48439,7,1000
2016,TX,48481,3,51
2016,MS,28149,none,237
2016,TX,48249,none,156
2015,TN,47093,9,183
2017,LA,22051,1,380
2015,LA,22055,4,114
2015,FL,12073,1,216
2015,MN,27053,7,605
2016,GA,13067,4,679
2017,TX,48367,1,169
2015,GA,13077,4,138
2016,MO,29101,none,145
2015,SC,45027,none,193
2017,TX,48355,3,392
2016,MN,27137,3,264
2017,AR,05009,1,21
2017,NC,37101,4,171
2015,MS,28117,3,32
2016,GA,13217,1,133
2017,TX,48407,3,56
2015,NC,37087,none,216
2017,TX,48361,none,485
2015,NC,37019,none,441
2016,GA,13217,none,685
2016,MO,29051,1,48
2016,TN,47079,none,127
2017,MO,29189,9,271
2017,GA,13245,4,105
2016,MS,28035,3,82
2015,GA,13051,none,775
2015,VA,51710,3,498
2016,LA,22067,none,116
2016,VA,51141,3,28
2017,FL,12091,4,198
2017,TX,48029,9,951
2017,NC,37067,7,200
2015,AR,05007,1,163
2015,FL,12029,none,67
2015,VA,51165,none,185
2015,MS,28095,none,161
2017,TX,48001,3,63
2016,FL,12001,2,29
2016,TN,47011,none,495
2015,FL,12073,4,178
2015,TX,48001,none,173
2017,FL,12009,9,290
2015,NC,37133,1,210
2016,VA,51760,none,504
2016,VA,51137,4,49
2016,VA,51087,4,206
2017,NC,37077,3,107
2016,GA,13077,none,731
2016,TX,48397,1,160
2017,TN,47157,4,610
2017,FL,12017,1,262
2017,WV,54061,1,62
2016,TN,47035,none,389
2017,SC,45017,3,29
2016,TN,47123,none,326
2015,GA,13151,3,512
2017,TN,47149,9,112
2017,FL,12103,7,757
2017,MN,27137,4,184
2015,TN,47011,none,372
2017,MO,29071,1,81
2016,AR,05095,none,33
2015,VA,51650,9,114
2017,WV,54099,none,108
2016,TN,47059,none,447
2016,TX,48467,1,72
2016,VA,51800,1,126
2015,GA,13175,none,275
2015,GA,13313,none,351
2016,LA,22071,3,360
2016,FL,12063,none,268
2016,VA,51800,none,420
2017,MS,28151,4,18
2015,MS,28089,none,416
2015,LA,22033,1,353
2016,FL,12007,none,99
2015,VA,51770,3,196
2015,MO,29037,none,241
2016,VA,51031,none,219
2015,GA,13111,none,152
2015,MO,29077,4,192
2015,NC,37109,none,262
2016,GA,13305,none,162
2016,FL,12005,7,147
2017,NC,37089,4,114
2017,MN,27037,1,445
2016,MO,29047,1,218
2017,VA,51650,none,274
2016,VA,51067,3,94
2017,LA,22005,none,723
2016,AR,05007,6,37
2017,FL,12053,1,344
2017,NC,37175,none,83
2015,LA,22051,9,154
2017,AR,05135,none,71
2017,SC,45063,9,125
2016,TX,48451,3,139
2015,MN,27163,9,102
2017,NC,37049,1,118
2017,NC,37147,3,202
2016,GA,13059,none,263
2016,VA,51173,none,97
2017,NC,37101,7,113
2016,SC,45057,1,128
2015,NC,37141,none,205
2017,TN,47125,1,257
2016,FL,12115,7,359
2016,GA,13015,3,153
2015,NC,37013,3,64
2016,MS,28095,3,29
2015,VA,51121,3,81
2017,TX,48259,1,72
2015,MS,28059,3,185
2015,VA,51065,none,123
2017,VA,51177,9,107
2016,TN,47059,3,99
2015,VA,51041,7,283
2015,FL,12001,9,81
2015,MN,27115,4,60
2015,VA,51760,7,97
2016,NC,37107,none,185
2016,MO,29183,4,251
2017,NC,37133,7,144
2015,MN,27109,6,22
2017,TN,47119,4,61
2017,VA,51067,none,96
2015,AR,05119,4,229
2015,GA,13013,1,82
2017,TN,47107,none,233
2015,NC,37027,3,157
2015,SC,45007,none,558
2015,SC,45079,6,55
2017,TX,48355,4,174
2016,MS,28127,none,191
2016,MO,29047,none,762
2017,TX,48027,1,339
2017,MN,27013,1,49
2015,MO,29099,1,222
2017,WV,54039,3,403
2015,MS,28043,none,129
2016,LA,22095,none,316
2017,TX,48439,5,204
2015,TX,48451,1,111
2017,SC,45051,5,70
2016,TN,47147,3,121
2015,VA,51023,4,31
2015,TX,48451,none,256
2015,SC,45019,3,595
2015,WV,54011,3,166
2017,MO,29091,3,65
2017,GA,13207,3,39
2015,TX,48407,3,42
2016,MO,29165,4,82
2017,LA,22055,3,191
2016,MO,29019,4,79
2016,NC,37189,none,160
2017,VA,51059,9,462
2016,MN,27145,1,105
2016,SC,45091,4,256
2017,VA,51069,3,151
2015,AR,05051,4,103
2016,GA,13257,none,103
2015,MN,27019,9,30
2017,MS,28063,none,79
2017,TN,47189,9,50
2017,TX,48091,9,79
2017,VA,51161,1,131
2017,FL,12111,7,338
2017,VA,51059,4,557
2016,MO,29107,none,76
2017,TX,48469,1,88
2015,NC,37191,1,86
2015,TN,47093,3,588
2016,MO,29009,1,29
2015,NC,37129,1,273
2017,VA,51001,none,102
2016,MO,29203,none,14
2016,FL,12063,1,45
2017,GA,13035,none,68
2015,NC,37191,none,271
2015,SC,45077,none,259
2017,TX,48375,3,137
2017,TN,47073,4,49
2017,GA,13199,1,28
2015,GA,13089,7,535
2017,GA,13113,3,176
2016,AR,05007,1,201
2016,VA,51041,4,246
2017,AR,05131,3,130
2016,FL,12131,1,143
2017,GA,13003,none,40
2016,MN,27141,4,102
2016,TX,48215,7,212
2015,VA,51161,4,66
2017,GA,13001,3,42
2017,GA,13021,none,296
2017,LA,22051,7,188
2015,NC,37179,7,151
2015,FL,12091,4,204
2016,VA,51510,3,96
2016,GA,13127,3,113
2015,NC,37115,4,24
2016,TN,47179,none,548
2016,TX,48231,1,108
2015,MO,29065,none,60
2016,MN,27067,3,36
2017,TN,47011,4,71
2015,GA,13115,none,298
2016,LA,22091,none,102
2017,TN,47123,4,29
2017,SC,45029,none,316
2016,TX,48367,7,96
2017,TX,48371,none,54
2015,NC,37027,4,77
2015,MO,29095,7,298
2017,LA,22103,7,121
2017,NC,37001,9,62
2015,TN,47189,3,213
2015,LA,22005,9,36
2015,GA,13047,none,305
2016,VA,51075,4,22
2017,VA,51760,none,253
2015,MO,29097,1,70
2017,VA,51087,1,400
2016,TX,48231,none,388
2017,GA,13039,7,45
2017,GA,13095,none,212
2015,MO,29186,none,66
2015,MO,29039,none,38
2017,VA,51810,4,280
2017,NC,37171,7,23
2017,NC,37159,2,10
2017,TN,47045,none,130
2016,TN,47125,9,119
2015,MN,27097,4,42
2017,GA,13217,3,262
2017,WV,54079,3,116
2016,TN,47089,3,126
2017,FL,12019,3,411
2015,NC,37119,2,84
2016,NC,37097,4,182
2017,VA,51179,1,218
2017,WV,54003,none,317
2017,SC,45083,4,245
2016,FL,12115,5,87
2017,TX,48001,9,14
2016,WV,54081,none,204
2016,MN,27025,6,8
2016,NC,37049,1,81
2015,GA,13321,4,12
2015,GA,13247,3,213
2016,TX,48227,none,80
2017,LA,22019,3,181
2016,VA,51700,7,111
2015,WV,54043,3,56
2016,TN,47031,none,212
2017,TN,47053,none,158
2016,FL,12125,3,30
2016,VA,51199,none,226
2017,LA,22119,3,46
2017,VA,51073,none,83
2017,TX,48085,6,159
2017,MO,29021,4,64
2017,NC,37031,3,111
2017,MS,28061,none,108
2015,LA,22093,none,143
2017,VA,51153,4,377
2016,NC,37179,3,366
2015,MS,28045,none,170
2016,NC,37145,none,151
2015,MN,27085,3,36
2016,GA,13215,4,150
2017,NC,37157,7,32
2017,GA,13127,3,113
2015,TX,48395,none,58
2017,GA,13013,4,77
2017,NC,37127,3,180
2015,NC,37065,none,149
2015,SC,45063,3,439
2016,NC,37021,3,319
2016,NC,37063,5,41
2017,NC,37169,none,86
2017,NC,37039,3,44
2015,MN,27139,7,90
2016,MS,28059,3,209
2016,VA,51023,none,138
2016,TX,48223,none,137
2016,LA,22033,4,306
2015,TX,48171,4,16
2017,NC,37045,1,91
2016,SC,45027,none,229
2015,GA,13117,7,270
2017,MS,28057,none,90
2016,SC,45047,1,48
2015,VA,51177,5,20
2017,FL,12055,7,56
2016,TX,48489,3,28
2015,GA,13045,none,371
2016,MO,29181,none,46
2016,WV,54079,none,283
2015,TN,47109,none,128
2016,FL,12045,none,124
2016,MS,28059,5,20
2016,NC,37067,6,51
2016,NC,37195,4,56
2016,VA,51810,4,331
2017,FL,12097,4,321
2017,FL,12083,7,298
2017,MS,28113,none,303
2017,LA,22031,3,36
2017,LA,22073,3,147
2017,VA,51199,1,51
2015,TX,48401,3,80
2017,FL,12103,9,428
2017,FL,12019,9,163
