schema,table,column,ruling,reason,n_nonempty,pct_double,pct_date
ECONOMICS,ECONOMICS__INTL_GLEIF,REGISTRATION_OTHERVALIDATIONAUTHORITIES_OTHERVALIDATIONAUTHORITY_2_VALIDATIONAUTHORITYENTITYID,keep_text,low_cast,21833,0.101,0.101
ECONOMICS,ECONOMICS__INTL_GLEIF,REGISTRATION_OTHERVALIDATIONAUTHORITIES_OTHERVALIDATIONAUTHORITY_2_VALIDATIONAUTHORITYID,keep_text,low_cast,21876,0.000,0.000
ECONOMICS,ECONOMICS__INTL_GLEIF,REGISTRATION_OTHERVALIDATIONAUTHORITIES_OTHERVALIDATIONAUTHORITY_3_OTHERVALIDATIONAUTHORITYID,keep_text,empty,0,,
ECONOMICS,ECONOMICS__INTL_GLEIF,REGISTRATION_OTHERVALIDATIONAUTHORITIES_OTHERVALIDATIONAUTHORITY_3_VALIDATIONAUTHORITYENTITYID,keep_text,low_cast,1645,0.031,0.031
ECONOMICS,ECONOMICS__INTL_GLEIF,REGISTRATION_OTHERVALIDATIONAUTHORITIES_OTHERVALIDATIONAUTHORITY_3_VALIDATIONAUTHORITYID,keep_text,low_cast,1646,0.000,0.000
ECONOMICS,ECONOMICS__INTL_GLEIF,REGISTRATION_OTHERVALIDATIONAUTHORITIES_OTHERVALIDATIONAUTHORITY_4_OTHERVALIDATIONAUTHORITYID,keep_text,empty,0,,
ECONOMICS,ECONOMICS__INTL_GLEIF,REGISTRATION_OTHERVALIDATIONAUTHORITIES_OTHERVALIDATIONAUTHORITY_4_VALIDATIONAUTHORITYENTITYID,keep_text,low_cast,85,0.118,0.118
ECONOMICS,ECONOMICS__INTL_GLEIF,REGISTRATION_OTHERVALIDATIONAUTHORITIES_OTHERVALIDATIONAUTHORITY_4_VALIDATIONAUTHORITYID,keep_text,low_cast,85,0.000,0.000
ECONOMICS,ECONOMICS__INTL_GLEIF,REGISTRATION_OTHERVALIDATIONAUTHORITIES_OTHERVALIDATIONAUTHORITY_5_OTHERVALIDATIONAUTHORITYID,keep_text,empty,0,,
ECONOMICS,ECONOMICS__INTL_GLEIF,REGISTRATION_OTHERVALIDATIONAUTHORITIES_OTHERVALIDATIONAUTHORITY_5_VALIDATIONAUTHORITYENTITYID,keep_text,low_cast,5,0.000,0.000
ECONOMICS,ECONOMICS__INTL_GLEIF,REGISTRATION_OTHERVALIDATIONAUTHORITIES_OTHERVALIDATIONAUTHORITY_5_VALIDATIONAUTHORITYID,keep_text,low_cast,5,0.000,0.000
ECONOMICS,ECONOMICS__INTL_GLEIF,REGISTRATION_VALIDATIONAUTHORITY_OTHERVALIDATIONAUTHORITYID,keep_text,low_cast,7669,0.002,0.002
ECONOMICS,ECONOMICS__INTL_GLEIF,REGISTRATION_VALIDATIONAUTHORITY_VALIDATIONAUTHORITYENTITYID,keep_text,partial_cast,3086622,0.502,0.502
ECONOMICS,ECONOMICS__INTL_GLEIF,REGISTRATION_VALIDATIONAUTHORITY_VALIDATIONAUTHORITYID,keep_text,low_cast,3382301,0.000,0.000
