schema,mart_table,column,raw_table,old_verdict,verdict,mart_rows,raw_rows,mart_non_blank,raw_non_blank,raw_top_values
ECONOMICS,ECONOMICS__INTL_GLEIF_RELATIONSHIPS,RELATIONSHIP_QUALIFIERS_3_QUALIFIERCATEGORY,LIBRARY_RAW.LANDING.INTL_GLEIF_RELATIONSHIPS,raw_also_empty,raw_also_empty,485285,485285,0,0,
ECONOMICS,ECONOMICS__INTL_GLEIF_RELATIONSHIPS,RELATIONSHIP_QUALIFIERS_4_QUALIFIERDIMENSION,LIBRARY_RAW.LANDING.INTL_GLEIF_RELATIONSHIPS,raw_also_empty,raw_also_empty,485285,485285,0,0,
ECONOMICS,ECONOMICS__INTL_GLEIF_RELATIONSHIPS,RELATIONSHIP_QUALIFIERS_4_QUALIFIERCATEGORY,LIBRARY_RAW.LANDING.INTL_GLEIF_RELATIONSHIPS,raw_also_empty,raw_also_empty,485285,485285,0,0,
ECONOMICS,ECONOMICS__INTL_GLEIF_RELATIONSHIPS,RELATIONSHIP_QUALIFIERS_5_QUALIFIERDIMENSION,LIBRARY_RAW.LANDING.INTL_GLEIF_RELATIONSHIPS,raw_also_empty,raw_also_empty,485285,485285,0,0,
ECONOMICS,ECONOMICS__INTL_GLEIF_RELATIONSHIPS,RELATIONSHIP_QUALIFIERS_5_QUALIFIERCATEGORY,LIBRARY_RAW.LANDING.INTL_GLEIF_RELATIONSHIPS,raw_also_empty,raw_also_empty,485285,485285,0,0,
ECONOMICS,ECONOMICS__INTL_GLEIF_RELATIONSHIPS,RELATIONSHIP_QUANTIFIERS_2_MEASUREMENTMETHOD,LIBRARY_RAW.LANDING.INTL_GLEIF_RELATIONSHIPS,raw_also_empty,raw_also_empty,485285,485285,0,0,
ECONOMICS,ECONOMICS__INTL_GLEIF_RELATIONSHIPS,RELATIONSHIP_QUANTIFIERS_2_QUANTIFIERAMOUNT,LIBRARY_RAW.LANDING.INTL_GLEIF_RELATIONSHIPS,raw_also_empty,raw_also_empty,485285,485285,0,0,
ECONOMICS,ECONOMICS__INTL_GLEIF_RELATIONSHIPS,RELATIONSHIP_QUANTIFIERS_2_QUANTIFIERUNITS,LIBRARY_RAW.LANDING.INTL_GLEIF_RELATIONSHIPS,raw_also_empty,raw_also_empty,485285,485285,0,0,
ECONOMICS,ECONOMICS__INTL_GLEIF_RELATIONSHIPS,RELATIONSHIP_QUANTIFIERS_3_MEASUREMENTMETHOD,LIBRARY_RAW.LANDING.INTL_GLEIF_RELATIONSHIPS,raw_also_empty,raw_also_empty,485285,485285,0,0,
ECONOMICS,ECONOMICS__INTL_GLEIF_RELATIONSHIPS,RELATIONSHIP_QUANTIFIERS_3_QUANTIFIERAMOUNT,LIBRARY_RAW.LANDING.INTL_GLEIF_RELATIONSHIPS,raw_also_empty,raw_also_empty,485285,485285,0,0,
ECONOMICS,ECONOMICS__INTL_GLEIF_RELATIONSHIPS,RELATIONSHIP_QUANTIFIERS_3_QUANTIFIERUNITS,LIBRARY_RAW.LANDING.INTL_GLEIF_RELATIONSHIPS,raw_also_empty,raw_also_empty,485285,485285,0,0,
ECONOMICS,ECONOMICS__INTL_GLEIF_RELATIONSHIPS,RELATIONSHIP_QUANTIFIERS_4_MEASUREMENTMETHOD,LIBRARY_RAW.LANDING.INTL_GLEIF_RELATIONSHIPS,raw_also_empty,raw_also_empty,485285,485285,0,0,
ECONOMICS,ECONOMICS__INTL_GLEIF_RELATIONSHIPS,RELATIONSHIP_QUANTIFIERS_4_QUANTIFIERAMOUNT,LIBRARY_RAW.LANDING.INTL_GLEIF_RELATIONSHIPS,raw_also_empty,raw_also_empty,485285,485285,0,0,
ECONOMICS,ECONOMICS__INTL_GLEIF_RELATIONSHIPS,RELATIONSHIP_QUANTIFIERS_4_QUANTIFIERUNITS,LIBRARY_RAW.LANDING.INTL_GLEIF_RELATIONSHIPS,raw_also_empty,raw_also_empty,485285,485285,0,0,
ECONOMICS,ECONOMICS__INTL_GLEIF_RELATIONSHIPS,RELATIONSHIP_QUANTIFIERS_5_MEASUREMENTMETHOD,LIBRARY_RAW.LANDING.INTL_GLEIF_RELATIONSHIPS,raw_also_empty,raw_also_empty,485285,485285,0,0,
