-- S11 AQS: extract every site (20,994 rows) for local time and distance math
AQS_SITE_ID | STATE_CODE | COUNTY_CODE | SITE_NUMBER | LATITUDE | LONGITUDE | LAND_USE | LOCATION_SETTING | SITE_ESTABLISHED_DATE | SITE_CLOSED_DATE | OWNING_AGENCY | LOCAL_SITE_NAME | ADDRESS | CITY_NAME | COUNTY_NAME | STATE_NAME | CBSA_NAME | TRIBE_NAME
01-033-0011 | 01 | 033 | 0011 | 34.782342 | -87.625015 | AGRICULTURAL | RURAL | 1973-01-01 | 1976-12-31 | Al Dept Of Env Mgt |  | 1.2 MI ENE OF OACD | Not in a City | Colbert | Alabama | Florence-Muscle Shoals, AL | 
01-033-0012 | 01 | 033 | 0012 | 34.78012 | -87.632515 | AGRICULTURAL | RURAL | 1973-01-01 | 1976-12-31 | Al Dept Of Env Mgt |  | 0.77 MI ENE OF OACD | Muscle Shoals | Colbert | Alabama | Florence-Muscle Shoals, AL | 
01-033-0026 | 01 | 033 | 0026 | 34.740646 | -87.880312 | AGRICULTURAL | RURAL | 1974-01-01 | 1997-12-31 | Al Dept Of Env Mgt |  | 2.4 MI W OF COLBERT STEAM PLANT | Not in a city | Colbert | Alabama | Florence-Muscle Shoals, AL | 
01-033-0027 | 01 | 033 | 0027 | 34.720368 | -87.819755 | AGRICULTURAL | RURAL | 1974-01-01 | 1997-12-31 | Al Dept Of Env Mgt |  | 2.3 MI SE OF COLBERT STEAM PLANT | Not in a city | Colbert | Alabama | Florence-Muscle Shoals, AL | 
01-033-0028 | 01 | 033 | 0028 | 34.6604 | -87.776964 | AGRICULTURAL | RURAL | 1974-01-01 | 1976-12-31 | Al Dept Of Env Mgt |  | 0.2 MI WSW OF OACD | Not in a City | Colbert | Alabama | Florence-Muscle Shoals, AL | 
01-033-0031 | 01 | 033 | 0031 | 34.786508 | -87.643626 | INDUSTRIAL | RURAL | 1974-01-01 | 1976-12-31 | Al Dept Of Env Mgt |  | 0.6 MI N OF OACD | Not in a City | Colbert | Alabama | Florence-Muscle Shoals, AL | 
01-033-0032 | 01 | 033 | 0032 | 34.779564 | -87.637793 | INDUSTRIAL | RURAL | 1974-01-01 | 1976-12-31 | Al Dept Of Env Mgt |  | 0.5 MI ENE OF OACD | Not in a City | Colbert | Alabama | Florence-Muscle Shoals, AL | 
01-033-0033 | 01 | 033 | 0033 | 34.761756 | -87.639195 | AGRICULTURAL | RURAL | 1974-01-01 | 1997-12-31 | Tennessee Valley Authority |  | 1.1 MI SSE OF OACD | Not in a city | Colbert | Alabama | Florence-Muscle Shoals, AL | 
01-033-0034 | 01 | 033 | 0034 | 34.762311 | -87.662251 | INDUSTRIAL | RURAL | 1974-01-01 | 1997-12-31 | Al Dept Of Env Mgt |  | 1.4 MI SW OF OACD | Not in a city | Colbert | Alabama | Florence-Muscle Shoals, AL | 
01-033-0035 | 01 | 033 | 0035 | 34.772033 | -87.901423 | AGRICULTURAL | RURAL | 1976-01-01 | 1997-12-31 | Al Dept Of Env Mgt |  | TVA 3.5 MI WNW OF COLBERT STEAM PLANT | Not in a city | Colbert | Alabama | Florence-Muscle Shoals, AL | 
