select FILING_YEAR, FILING_PERIOD, FILING_TYPE, upper(REGISTRANT_NAME) reg, REGISTRANT_ID, upper(CLIENT_NAME) cli, CLIENT_ID, INCOME, EXPENSES, DT_POSTED, FILING_UUID, TERMINATION_DATE,
 count(*) over (partition by FILING_UUID) uuid_dups
from LIBRARY_MARTS.EDUCATION.EDUCATION__FED_SENATE_LDA_FILINGS
where upper(CLIENT_NAME) like '%LAS VEGAS SANDS%' and FILING_YEAR >= '2021'
order by FILING_YEAR, reg, FILING_PERIOD, DT_POSTED

[04] 107 rows
FILING_YEAR | FILING_PERIOD | FILING_TYPE | REG | REGISTRANT_ID | CLI | CLIENT_ID | INCOME | EXPENSES | DT_POSTED | FILING_UUID | TERMINATION_DATE | UUID_DUPS
2025 | first_quarter | Q1 | AVOQ, LLC | 313271 | LAS VEGAS SANDS CORP. | 184198 | 50000.00 |  | 2025-04-21T17:58:30-04:00 | b1fb0279-aa5c-4306-8f01-fdb485519eb9 |  | 1
2025 | fourth_quarter | Q4 | AVOQ, LLC | 313271 | LAS VEGAS SANDS CORP. | 184198 | 50000.00 |  | 2026-01-20T18:54:40-05:00 | 3bc1f04a-992f-402f-ac6d-e08cd3192e45 |  | 1
2025 | second_quarter | Q2 | AVOQ, LLC | 313271 | LAS VEGAS SANDS CORP. | 184198 | 50000.00 |  | 2025-07-21T18:53:48-04:00 | 27c390e7-fafc-4781-8d8b-dab655da1003 |  | 1
2025 | third_quarter | Q3 | AVOQ, LLC | 313271 | LAS VEGAS SANDS CORP. | 184198 | 50000.00 |  | 2025-10-20T18:41:32-04:00 | a29d1130-bd5d-4544-94da-551529166b76 |  | 1
2025 | first_quarter | Q1 | CAPITOL COUNSEL LLC | 313715 | LAS VEGAS SANDS CORPORATION | 184522 | 50000.00 |  | 2025-04-20T14:13:48-04:00 | 5ea82ad5-73cd-465a-98e1-8ccd5efed190 |  | 1
2025 | fourth_quarter | Q4 | CAPITOL COUNSEL LLC | 313715 | LAS VEGAS SANDS CORPORATION | 184522 | 50000.00 |  | 2026-01-18T17:20:33-05:00 | 11c80b55-f74d-457f-a827-fbad9b1a2b9b |  | 1
2025 | second_quarter | Q2 | CAPITOL COUNSEL LLC | 313715 | LAS VEGAS SANDS CORPORATION | 184522 | 50000.00 |  | 2025-07-22T00:05:20-04:00 | 22e92d27-1b92-439c-ac0b-800c87f7bd35 |  | 1
2025 | third_quarter | Q3 | CAPITOL COUNSEL LLC | 313715 | LAS VEGAS SANDS CORPORATION | 184522 | 50000.00 |  | 2025-10-15T16:40:42-04:00 | a5951f26-76b2-48d5-a14a-eeb73e99b66e |  | 1
2025 | first_quarter | Q1 | STEPTOE LLP | 36710 | LAS VEGAS SANDS CORPORATION | 145709 | 80000.00 |  | 2025-04-19T10:18:12-04:00 | d1317471-b041-479a-9ece-04660f4e0a87 |  | 1
2025 | fourth_quarter | Q4 | STEPTOE LLP | 36710 | LAS VEGAS SANDS CORPORATION | 145709 | 80000.00 |  | 2026-01-19T13:45:01-05:00 | 27972d79-1ec7-4a07-954e-4278302cbf79 |  | 1
2025 | second_quarter | Q2 | STEPTOE LLP | 36710 | LAS VEGAS SANDS CORPORATION | 145709 | 80000.00 |  | 2025-07-20T18:56:06-04:00 | 06fdacea-b04f-41b1-a27a-23270e23ce2b |  | 1
2025 | third_quarter | Q3 | STEPTOE LLP | 36710 | LAS VEGAS SANDS CORPORATION | 145709 | 80000.00 |  | 2025-10-20T14:44:07-04:00 | 2335185c-2ec4-4c87-b97c-fab479b8149a |  | 1
2025 | first_quarter | Q1 | THE VOGEL GROUP | 401104734 | LAS VEGAS SANDS CORPORATION | 211366 | 37500.00 |  | 2025-04-20T17:47:45-04:00 | b0c0b36c-ac6a-4de3-a525-5565273bf57c |  | 1
2025 | fourth_quarter | Q4 | THE VOGEL GROUP | 401104734 | LAS VEGAS SANDS CORPORATION | 211366 | 40000.00 |  | 2026-01-16T13:54:47-05:00 | dfc37c60-46ca-4fab-a2b1-7480a59e0601 |  | 1
2025 | second_quarter | Q2 | THE VOGEL GROUP | 401104734 | LAS VEGAS SANDS CORPORATION | 211366 | 37500.00 |  | 2025-07-20T21:46:07-04:00 | ed5d14f8-b94b-4c41-8c0d-ee08bad02e2a |  | 1
2025 | third_quarter | Q3 | THE VOGEL GROUP | 401104734 | LAS VEGAS SANDS CORPORATION | 211366 | 37500.00 |  | 2025-10-20T10:13:49-04:00 | 828edfbb-3a7c-4cc4-a10e-b2493d245d16 |  | 1
2026 | first_quarter | Q1 | AVOQ, LLC | 313271 | LAS VEGAS SANDS CORP. | 184198 | 60000.00 |  | 2026-04-20T19:36:28-04:00 | de91cabd-0dd9-4306-a583-a2138d73042e |  | 1
