source,target,tier,key,matched,match_rate
PORTAL_ARC_HARRIS_COUNTY_OP_1966AC023B,PORTAL_SOC_TEXAS_OPEN_DATA_F525266F32,GEO,ZIP,6,18.2
FED_CMS_HOSPITAL_GENERAL,PORTAL_ARC_ATLANTA_DATAATLA_4C51545609,GEO,ZIP,6,30.0
PORTAL_ARC_TUCSON_OPEN_DATA_1073539FE2,PORTAL_ARC_TUCSON_OPEN_DATA_726A6C58E2,STRONG,DOCKET,5,17.2
PORTAL_ARC_TUCSON_OPEN_DATA_1073539FE2,PORTAL_ARC_TUCSON_OPEN_DATA_7672DB717A,STRONG,DOCKET,5,17.2
PORTAL_ARC_TUCSON_OPEN_DATA_1073539FE2,PORTAL_ARC_TUCSON_OPEN_DATA_EE2E5DB309,STRONG,DOCKET,5,17.2
PORTAL_ARC_TUCSON_OPEN_DATA_1073539FE2,PORTAL_ARC_TUCSON_OPEN_DATA_89DF24D316,STRONG,DOCKET,5,17.2
PORTAL_ARC_TUCSON_OPEN_DATA_1073539FE2,PORTAL_ARC_TUCSON_OPEN_DATA_FA71372C44,STRONG,DOCKET,5,17.2
PORTAL_ARC_TUCSON_OPEN_DATA_1073539FE2,PORTAL_ARC_TUCSON_OPEN_DATA_F5DCF594AF,STRONG,DOCKET,5,17.2
PORTAL_ARC_TUCSON_OPEN_DATA_1073539FE2,PORTAL_ARC_TUCSON_OPEN_DATA_C92A89BB0D,STRONG,DOCKET,5,17.2
PORTAL_SOC_CHICAGO_DATA_POR_1CA267A903,PORTAL_SOC_UTAH_OPEN_DATA_P_3345D79E51,STRONG,SIC,4,25.0
